pickup_date,pickup_year,pickup_month,pickup_day,pickup_weekday,is_weekend,date_id
2023-01-01,2023,1,1,Sunday,True,20230101
2022-12-31,2022,12,31,Saturday,True,20221231
2022-10-24,2022,10,24,Monday,False,20221024
2022-10-25,2022,10,25,Tuesday,False,20221025
2023-01-02,2023,1,2,Monday,False,20230102
2023-01-03,2023,1,3,Tuesday,False,20230103
2008-12-31,2008,12,31,Wednesday,False,20081231
2023-01-04,2023,1,4,Wednesday,False,20230104
2023-01-05,2023,1,5,Thursday,False,20230105
2023-01-06,2023,1,6,Friday,False,20230106
2023-01-07,2023,1,7,Saturday,True,20230107
2023-01-08,2023,1,8,Sunday,True,20230108
2023-01-09,2023,1,9,Monday,False,20230109
2023-01-10,2023,1,10,Tuesday,False,20230110
2023-01-11,2023,1,11,Wednesday,False,20230111
2023-01-12,2023,1,12,Thursday,False,20230112
2023-01-13,2023,1,13,Friday,False,20230113
2023-01-14,2023,1,14,Saturday,True,20230114
2023-01-15,2023,1,15,Sunday,True,20230115
2023-01-16,2023,1,16,Monday,False,20230116
2023-01-17,2023,1,17,Tuesday,False,20230117
2023-01-18,2023,1,18,Wednesday,False,20230118
2023-01-19,2023,1,19,Thursday,False,20230119
2023-01-20,2023,1,20,Friday,False,20230120
2023-01-21,2023,1,21,Saturday,True,20230121
2023-01-22,2023,1,22,Sunday,True,20230122
2023-01-23,2023,1,23,Monday,False,20230123
2023-01-24,2023,1,24,Tuesday,False,20230124
2023-01-25,2023,1,25,Wednesday,False,20230125
2023-01-26,2023,1,26,Thursday,False,20230126
2023-01-27,2023,1,27,Friday,False,20230127
2023-01-28,2023,1,28,Saturday,True,20230128
2023-01-29,2023,1,29,Sunday,True,20230129
2023-01-30,2023,1,30,Monday,False,20230130
2023-01-31,2023,1,31,Tuesday,False,20230131
2023-02-01,2023,2,1,Wednesday,False,20230201
